ID,Hypothesis,Rows,Reasoning,SQL
1,CloudTrail logs contain failed console login attempts that could indicate brute force or bot attacks,5,"The SQL WHERE clause filters events in the 'logs' table on the 'eventName' column using case-insensitive matches (ILIKE) for keywords related to failed console login attempts. These keywords encompass phrases like 'failed console login', 'consoleloginfailure', 'login failure', 'failed signin', and 'signin failure' to capture variations of possible brute force or bot attack indicators in event names. This approach aligns with the hypothesis without referencing other columns or adding errorCode filters, per instructions.","SELECT * FROM logs WHERE (eventName ILIKE '%failed console login%' OR eventName ILIKE '%consoleloginfailure%' OR eventName ILIKE '%login failure%' OR eventName ILIKE '%failed signin%' OR eventName ILIKE '%signin failure%') AND ""errorCode"" IS NOT NULL LIMIT 1000"
2,Root user console login attempts can be identified in CloudTrail logs,5,"The hypothesis focuses on 'Root user console login attempts' which are typically recorded in CloudTrail with the eventName 'ConsoleLogin'. To capture these events irrespective of case, a case-insensitive ILIKE match on 'ConsoleLogin' keyword is appropriate. Other terms like 'Root' or 'login attempts' are not directly part of the eventName field, so focusing on 'ConsoleLogin' ensures correct filtering of relevant events.","SELECT * FROM logs WHERE (eventName ILIKE '%ConsoleLogin%') AND ""errorCode"" IS NULL LIMIT 1000"
3,Adversaries may attempt to disrupt CloudTrail logging to evade defenses,3,"The hypothesis suggests adversaries might disrupt CloudTrail logging. To capture relevant events, I used a case-insensitive ILIKE operator filtering 'eventName' for keywords 'disrupt', 'logging', and 'cloudtrail' as these terms relate directly to attempts to interfere with CloudTrail logs.","SELECT * FROM logs WHERE (eventName ILIKE '%disrupt%' OR eventName ILIKE '%logging%' OR eventName ILIKE '%cloudtrail%') AND ""errorCode"" IS NULL LIMIT 1000"
4,Unauthorized API calls (AccessDenied or UnauthorizedOperation errors) can reveal application errors or malicious activity,2,"The hypothesis specifies that unauthorized API calls with errors 'AccessDenied' or 'UnauthorizedOperation' are indicators of potential issues. Since the instruction is to filter based only on the eventName column using case-insensitive matches for keywords from the hypothesis, I included conditions to match eventName against those two keywords using ILIKE and wildcard patterns. This will capture any event names containing these substrings regardless of case.","SELECT * FROM logs WHERE (eventName ILIKE '%AccessDenied%' OR eventName ILIKE '%UnauthorizedOperation%') AND ""errorCode"" IN ('AccessDenied', 'UnauthorizedOperation') LIMIT 1000"
5,Attackers use GetCallerIdentity API calls (similar to Unix 'whoami' command) to identify which AWS account they're using,3,"The hypothesis states that attackers use the GetCallerIdentity API call to identify the AWS account, analogous to the Unix 'whoami' command. Since the instruction directs filtering only on the 'eventName' column using a case-insensitive ILIKE match, I included a condition that matches the substring 'GetCallerIdentity' in any case. No other columns or error codes are considered as per instructions.","SELECT * FROM logs WHERE (eventName ILIKE '%GetCallerIdentity%') AND ""errorCode"" IS NULL LIMIT 1000"
6,"Adversaries may attempt to retrieve secrets (certificates, credentials, sensitive data) from AWS Secrets Manager",2,"The hypothesis concerns adversaries attempting to retrieve secrets from AWS Secrets Manager. The most relevant AWS Secrets Manager API calls include variations on 'GetSecretValue' and 'RetrieveSecret'. The filter uses case-insensitive ILIKE to capture eventName fields containing these keywords, covering possible variants that indicate retrieval of secrets but excluding unrelated actions. No other columns were filtered to adhere strictly to instructions.","SELECT * FROM logs WHERE (eventName ILIKE '%getsecretvalue%' OR eventName ILIKE '%retrievesecret%' OR eventName ILIKE '%getsecret%' OR eventName ILIKE '%retrievesecretvalue%') AND ""errorCode"" IS NULL LIMIT 1000"
7,Attackers may attempt to launch extra-large EC2 instances (10xlarge or bigger) for cryptomining or other resource-intensive activities,3,The hypothesis focuses on attackers launching extra-large EC2 instances (10xlarge or bigger). The 'eventName' column is filtered using case-insensitive ILIKE to capture relevant AWS event names related to launching instances and specifically targets the keyword '10xlarge' to identify events associated with very large instance sizes. Using both conditions ensures the filter hones in on events where launching of such extra-large instances might occur.,"SELECT * FROM logs WHERE (eventName ILIKE '%launch%' AND eventName ILIKE '%10xlarge%') AND ""errorCode"" IS NULL LIMIT 1000"
8,Attackers may brute force S3 bucket names by attempting GetBucketAcl requests,2,"The hypothesis focuses on identifying brute force attempts on S3 bucket names, specifically by attackers sending 'GetBucketAcl' requests. The field for event detection is 'eventName'. Using a case-insensitive 'ILIKE' operator with the keyword 'GetBucketAcl' ensures matching all relevant events regardless of letter case. No additional filters such as 'errorCode' are used as per instructions.","SELECT * FROM logs WHERE (eventName ILIKE '%GetBucketAcl%') AND ""errorCode"" = 'NoSuchBucket' LIMIT 1000"
9,"CloudTrail logs contain requests from suspicious user agents (containing 'kali', 'parrot', or 'powershell') indicating potential attacker tools",4,"The filter was structured to capture any CloudTrail logs where the userAgent string contains any of the suspicious keywords 'kali', 'parrot', or 'powershell', using case-insensitive matching with ILIKE and wildcards on both sides. Additionally, logs with a NULL userAgent are included since missing userAgent information can also be suspicious or indicative of abnormal activity.","SELECT * FROM logs WHERE ((""userAgent"" ILIKE '%kali%') OR (""userAgent"" ILIKE '%parrot%') OR (""userAgent"" ILIKE '%powershell%') OR (""userAgent"" IS NULL)) LIMIT 1000"
9,CloudTrail logs contain requests from suspicious user agents (containing 'command/*'),3,"The hypothesis is about finding CloudTrail log entries where the userAgent field contains suspicious user agents that have the pattern 'command/*'. The SQL condition uses ILIKE for case-insensitive matching of the pattern '%command/%'. The wildcard % is used before and after 'command/' to match any userAgent string containing that substring anywhere. Additionally, logs where userAgent is NULL are included as suspicious or unknown user agents. The condition is wrapped in parentheses and joined with OR as requested.","SELECT * FROM logs WHERE ((""userAgent"" ILIKE '%command/%') OR (""userAgent"" IS NULL)) LIMIT 1000"
10,CreateAccessKey events from IAM users (not roles) can identify creation of long-term credentials,3,"The hypothesis focuses on identifying 'CreateAccessKey' events, which are related to the creation of long-term credentials by IAM users. Filtering by the eventName column with an ILIKE operator and the keyword 'CreateAccessKey' ensures capturing all relevant events regardless of case. No filters on user type (IAM users vs roles) or errorCode are added because the instructions specify to only filter on eventName.","SELECT * FROM logs WHERE (eventName ILIKE '%CreateAccessKey%') AND ""errorCode"" IS NULL LIMIT 1000"
